Datetime,time,Measured & Upscaled,Most recent forecast,Day Ahead 11AM forecast,Day-ahead 6PM forecast,Week-ahead forecast,Monitored capacity,Load factor,Decremental bid Indicator
2022-6-7,11:30:00,72.53,164.74,38.03,48.62,301.69,2254.4,0.03,''
2022-6-7,11:15:00,118.43,173.25,41.09,52.01,306.69,2254.4,0.05,''
2022-6-7,11:00:00,141.43,182.26,44.57,55.54,311.73,2254.4,0.06,''
2022-6-7,10:45:00,130.83,189.22,48.85,59.84,319.45,2254.4,0.06,''
2022-6-7,10:30:00,116.59,197.59,53.92,65.68,324.66,2254.4,0.05,''
2022-6-7,10:15:00,83.85,206.17,58.56,71.31,329.93,2254.4,0.04,''
2022-6-7,10:00:00,72.8,215.6,63.9,77.79,335.25,2254.4,0.03,''
2022-6-7,9:45:00,101.91,221.35,70.58,88.21,341.39,2254.4,0.05,''
2022-6-7,9:30:00,136.44,228.34,77.59,98.05,348.92,2254.4,0.06,''
2022-6-7,9:15:00,116.78,236.14,85,107.07,356.67,2254.4,0.05,''
2022-6-7,9:00:00,122.91,244.8,93.61,118.8,368.59,2254.4,0.05,''
2022-6-7,8:45:00,135.92,258.92,103.76,130.72,379.7,2254.4,0.06,''
2022-6-7,8:30:00,127.07,276.63,116.35,140.29,387.68,2254.4,0.06,''
2022-6-7,8:15:00,94.05,294.32,130.73,151.87,399.38,2254.4,0.04,''
2022-6-7,8:00:00,62.71,313.53,147.03,164.7,411.31,2254.4,0.03,''
2022-6-7,7:45:00,61.66,352.24,166.28,181.96,396.61,2254.4,0.03,''
2022-6-7,7:30:00,57.82,393.75,187.3,200.1,396.15,2254.4,0.03,''
2022-6-7,7:15:00,56.09,438.43,211.79,221.56,389.69,2254.4,0.02,''
2022-6-7,7:00:00,66.54,485.58,236.73,243.71,390.79,2254.4,0.03,''
2022-6-7,6:45:00,76.57,517.73,261.41,265.96,376.07,2254.4,0.03,''
2022-6-7,6:30:00,80.8,552.99,287.76,289.6,377.92,2254.4,0.04,''
2022-6-7,6:15:00,80.11,591.46,315.49,313.58,380.63,2254.4,0.04,''
2022-6-7,6:00:00,75.11,631.99,340.99,336.11,384.54,2254.4,0.03,''
2022-6-7,5:45:00,97.09,611.53,363.26,358.68,388.52,2254.4,0.04,''
2022-6-7,5:30:00,111.64,592.64,385.73,379.97,399.49,2254.4,0.05,''
2022-6-7,5:15:00,120.93,575.07,405.45,408.12,420.36,2254.4,0.05,''
2022-6-7,5:00:00,144.51,558.52,428.17,435.14,444.52,2254.4,0.06,''
2022-6-7,4:45:00,164.51,558.47,441.03,450.43,459.61,2254.4,0.07,''
2022-6-7,4:30:00,178.81,559.07,453.05,467.88,470.44,2254.4,0.08,''
2022-6-7,4:15:00,183.71,560.99,466.72,490.1,485.74,2254.4,0.08,''
2022-6-7,4:00:00,180.3,563.66,478.51,516.14,506.77,2254.4,0.08,''
2022-6-7,3:45:00,187.64,555.37,471.98,521.99,524.16,2254.4,0.08,''
2022-6-7,3:30:00,187.02,548.27,466.87,526.44,549.84,2254.4,0.08,''
2022-6-7,3:15:00,182.56,541.02,462.71,534.14,569.53,2254.4,0.08,''
